"","item","factor","loading","questionnaire"
"94","EAT26.eat1.","F1: Eating Attitudes",0.783714703580923,"EAT-26 (Eating Attitudes)"
"97","EAT26.eat10.","F1: Eating Attitudes",0.793262708791869,"EAT-26 (Eating Attitudes)"
"100","EAT26.eat11.","F1: Eating Attitudes",0.841083957840312,"EAT-26 (Eating Attitudes)"
"103","EAT26.eat12.","F1: Eating Attitudes",0.808516651136835,"EAT-26 (Eating Attitudes)"
"108","EAT26.eat13.","F1: Eating Attitudes",0.372777538348529,"EAT-26 (Eating Attitudes)"
"109","EAT26.eat14.","F1: Eating Attitudes",0.83951796348351,"EAT-26 (Eating Attitudes)"
"112","EAT26.eat15.","F1: Eating Attitudes",0.37657913522231,"EAT-26 (Eating Attitudes)"
"115","EAT26.eat16.","F1: Eating Attitudes",0.51554833380198,"EAT-26 (Eating Attitudes)"
"118","EAT26.eat17.","F1: Eating Attitudes",0.874735176346181,"EAT-26 (Eating Attitudes)"
"122","EAT26.eat18.","F1: Eating Attitudes",0.852606540797098,"EAT-26 (Eating Attitudes)"
"125","EAT26.eat19.","F1: Eating Attitudes",0.350210251520026,"EAT-26 (Eating Attitudes)"
"127","EAT26.eat2.","F1: Eating Attitudes",0.73415371260304,"EAT-26 (Eating Attitudes)"
"131","EAT26.eat20.","F1: Eating Attitudes",0.532971064166562,"EAT-26 (Eating Attitudes)"
"133","EAT26.eat21.","F1: Eating Attitudes",0.809449924866536,"EAT-26 (Eating Attitudes)"
"138","EAT26.eat22.","F1: Eating Attitudes",0.76992997429563,"EAT-26 (Eating Attitudes)"
"140","EAT26.eat23.","F1: Eating Attitudes",0.93641283150974,"EAT-26 (Eating Attitudes)"
"143","EAT26.eat24.","F1: Eating Attitudes",0.737937379958075,"EAT-26 (Eating Attitudes)"
"145","EAT26.eat25.","F1: Eating Attitudes",0.395165927692189,"EAT-26 (Eating Attitudes)"
"149","EAT26.eat26.","F1: Eating Attitudes",0.233685408811284,"EAT-26 (Eating Attitudes)"
"151","EAT26.eat3.","F1: Eating Attitudes",0.67432468241609,"EAT-26 (Eating Attitudes)"
"154","EAT26.eat4.","F1: Eating Attitudes",0.386652752702327,"EAT-26 (Eating Attitudes)"
"158","EAT26.eat5.","F1: Eating Attitudes",0.263339764883365,"EAT-26 (Eating Attitudes)"
"160","EAT26.eat6.","F1: Eating Attitudes",0.821888860738726,"EAT-26 (Eating Attitudes)"
"163","EAT26.eat7.","F1: Eating Attitudes",0.591701009289386,"EAT-26 (Eating Attitudes)"
"166","EAT26.eat8.","F1: Eating Attitudes",0.405364710351145,"EAT-26 (Eating Attitudes)"
"171","EAT26.eat9.","F1: Eating Attitudes",0.192382088568955,"EAT-26 (Eating Attitudes)"
