"","Chisq","Df","Pr..Chisq.","contrast","estimate","SE","df","z.ratio","p.value","prop","runid"
"group:remaining_time_reversed",33.0542526456038,1,8.96228069335007e-09,"group1 - group2",-0.000406873780242161,6.65746953796182e-05,Inf,-6.11153799385954,9.86755029604808e-10,0.6,1
"group:remaining_time_reversed1",34.4584549142347,1,4.35447135479819e-09,"group1 - group2",-0.000412114810586541,6.53808948271418e-05,Inf,-6.30329107113197,2.91390921653958e-10,0.6,2
"group:remaining_time_reversed2",38.3812484848138,1,5.8188835064096e-10,"group1 - group2",-0.000427953637053698,6.68208786574585e-05,Inf,-6.40448981893071,1.50873020929859e-10,0.6,3
"group:remaining_time_reversed3",26.9755056450806,1,2.06050116168721e-07,"group1 - group2",-0.000324786259553465,6.37608553776718e-05,Inf,-5.09381904664976,3.50921721390629e-07,0.6,4
"group:remaining_time_reversed4",12.0032930922373,1,0.000531066281167179,"group1 - group2",-0.000242755629774828,6.40865437706372e-05,Inf,-3.78793449438683,0.000151904884509841,0.6,5
"group:remaining_time_reversed5",25.8771168288674,1,3.63857057695307e-07,"group1 - group2",-0.000321447642157963,6.4351031216936e-05,Inf,-4.99522130537924,5.87683358963396e-07,0.6,6
"group:remaining_time_reversed6",25.0956822042926,1,5.4554877069349e-07,"group1 - group2",-0.000305424887996932,6.48708734999285e-05,Inf,-4.70819755490526,2.49916831290049e-06,0.6,7
"group:remaining_time_reversed7",50.109938896336,1,1.45368830177054e-12,"group1 - group2",-0.000493270979269186,6.42367793720876e-05,Inf,-7.67894941326283,1.60398554465417e-14,0.6,8
"group:remaining_time_reversed8",13.1067801763098,1,0.000294228949841039,"group1 - group2",-0.000237692913323945,6.5033536362846e-05,Inf,-3.65492831264425,0.000257253850656697,0.6,9
"group:remaining_time_reversed9",17.4868463164984,1,2.89302360334591e-05,"group1 - group2",-0.000308518335566237,6.3105159298152e-05,Inf,-4.88895581593551,1.01372243027989e-06,0.6,10
"group:remaining_time_reversed10",54.5589564648911,1,1.5085355676805e-13,"group1 - group2",-0.000533884651185391,6.78440058577506e-05,Inf,-7.86929728625981,3.5663878022652e-15,0.6,11
"group:remaining_time_reversed11",30.7989902636618,1,2.86186736747571e-08,"group1 - group2",-0.000394912312824277,6.70860549575265e-05,Inf,-5.88665279355455,3.94095417977816e-09,0.6,12
"group:remaining_time_reversed12",19.1581150858936,1,1.20324851487943e-05,"group1 - group2",-0.000268345228603157,6.35037559015135e-05,Inf,-4.22565917233821,2.38242351985409e-05,0.6,13
"group:remaining_time_reversed13",37.1615474899392,1,1.087369269865e-09,"group1 - group2",-0.00045016675412077,6.7084203992439e-05,Inf,-6.71047321619122,1.93994253521613e-11,0.6,14
"group:remaining_time_reversed14",25.5947744356893,1,4.21178449645638e-07,"group1 - group2",-0.000329969267443678,6.27970992946432e-05,Inf,-5.25453040267778,1.48402630965874e-07,0.6,15
"group:remaining_time_reversed15",40.1148726493413,1,2.3945891419628e-10,"group1 - group2",-0.000438778542556393,6.70489327809818e-05,Inf,-6.54415401345286,5.98331117552663e-11,0.6,16
"group:remaining_time_reversed16",29.1865810780849,1,6.57328802935014e-08,"group1 - group2",-0.000335799832052075,6.29794398931146e-05,Inf,-5.3318961334362,9.71925281386911e-08,0.6,17
"group:remaining_time_reversed17",27.6129987625992,1,1.48179613277912e-07,"group1 - group2",-0.0003483386429585,6.31039845191043e-05,Inf,-5.52007366275014,3.38857581599802e-08,0.6,18
"group:remaining_time_reversed18",27.1600100896064,1,1.87292924495518e-07,"group1 - group2",-0.000327502133362696,6.31503784754886e-05,Inf,-5.18606762570415,2.14780845245303e-07,0.6,19
"group:remaining_time_reversed19",36.0464175822788,1,1.92672683262588e-09,"group1 - group2",-0.000420266718811629,6.66503855353575e-05,Inf,-6.30554070221667,2.87189516377925e-10,0.6,20
