"","id","group","reward_remaining"
"1","p001","group1",39.3211009174312
"2","p002","group1",26.7415730337079
"3","p003","group2",7.57407407407407
"4","p005","group1",35.0454545454545
"5","p006","group1",38.8125
"6","p007","group2",36.5463917525773
"7","p008","group2",47.656
"8","p009","group2",41.6607142857143
"9","p010","group2",79.75
"10","p011","group1",34.07
"11","p012","group1",49.5593220338983
"12","p013","group2",17.6376811594203
"13","p014","group2",45.625
"14","p015","group1",59.85
"15","p016","group2",28
"16","p017","group2",40.6451612903226
"17","p019","group2",30.2959183673469
"18","p020","group1",36.1546391752577
"19","p021","group2",41.5925925925926
"20","p022","group2",45.9596774193548
"21","p023","group1",35.5294117647059
"22","p024","group2",63.8440366972477
"23","p025","group1",50.8359375
"24","p026","group1",39.6517857142857
"25","p027","group2",26.7166666666667
"26","p028","group2",35.4545454545455
"27","p029","group1",45.7460317460317
"28","p030","group1",27.1558441558442
"29","p031","group2",35.9166666666667
"30","p032","group2",16.8181818181818
"31","p033","group1",33.2613636363636
"32","p034","group2",38.7
"33","p035","group1",24.7647058823529
"34","p036","group2",30.8214285714286
"35","p037","group1",38.3888888888889
"36","p038","group2",41.2342342342342
"37","p039","group1",39.4343434343434
"38","p040","group1",58.7828947368421
"39","p041","group2",42.9519230769231
"40","p042","group2",17.9
"41","p044","group2",49.0393700787402
"42","p045","group1",33.0097087378641
"43","p046","group2",31.546511627907
"44","p047","group2",52.1615384615385
"45","p048","group2",42.1056910569106
"46","p050","group1",43.3305785123967
"47","p052","group2",56.42
"48","p055","group1",37.9320388349515
"49","p056","group2",40.2347826086957
"50","p057","group2",38.392523364486
"51","p058","group2",21.1688311688312
"52","p059","group2",42.2905982905983
"53","p061","group1",50.1267605633803
"54","p062","group1",50.4172661870504
"55","p063","group1",29.9886363636364
"56","p064","group1",29.2906976744186
"57","p065","group2",27.1780821917808
"58","p066","group2",39.9906542056075
"59","p070","group2",44.2190476190476
"60","p071","group2",47.0514705882353
"61","p072","group2",42.9473684210526
"62","p073","group2",37.6987951807229
"63","p074","group2",22.4210526315789
"64","p075","group1",31.2659574468085
"65","p077","group1",15.3333333333333
"66","p080","group2",15.9384615384615
"67","p081","group1",51.1417910447761
"68","p083","group2",20.9466666666667
"69","p084","group2",60.8950617283951
"70","p086","group1",41.8118811881188
"71","p087","group2",36.49
"72","p089","group1",52.4193548387097
"73","p090","group1",35.9387755102041
"74","p091","group2",20.1184210526316
"75","p092","group2",65.2123287671233
"76","p093","group1",57.259842519685
"77","p094","group1",36.52
"78","p095","group1",48.0157480314961
"79","p096","group2",32.1234567901235
"80","p097","group1",35.6
"81","p098","group2",44.298969072165
"82","p099","group1",34.8613861386139
"83","p100","group2",41.343137254902
"84","p101","group2",22.2608695652174
"85","p102","group1",24.8
"86","p103","group1",32.4268292682927
"87","p104","group1",0
"88","p105","group2",37.1348314606742
"89","p106","group2",27.2278481012658
"90","p107","group1",52.1641791044776
"91","p108","group2",65.9712643678161
"92","p109","group2",50.2932330827068
"93","p110","group2",27.6463414634146
"94","p111","group1",12.6811594202899
"95","p112","group1",34.4891304347826
"96","p115","group2",36.3823529411765
"97","p116","group1",53.3548387096774
"98","p117","group1",28.1363636363636
"99","p118","group1",37.7058823529412
"100","p119","group1",40.8396226415094
"101","p120","group2",28.8795180722892
"102","p121","group1",20.7435897435897
"103","p122","group1",30.5263157894737
"104","p123","group2",36.9206349206349
